id,name,place_of_birth,member_since,favorite_authors,favorite_genres,want_to_read,currently_reading,read
0,Adib Rezaei,Armenia,October 19 2019,716$1512,Romance$Fiction,169$397$375$56$307$279$60$341$232$295,31$374$372$250$311$300$95$240$78$269$403$220$146,137$75$72$200$236$215$217
1,Ahoora Shiri,Denmark,October 1 2012,193,History,22$246$173$203$353$139$132$168$178$208,181$401$224$344$257$25$377$6$228,32$372$343$215$118$140$164$108$192
2,Ali Tajik,Philippines,October 8 2012,583$650,Romance,251$348$288$272$310$330$362$141$90$116$331$136$169$286$101,42,109$163$296$202$103$350$61$23$30$285$92$39$99$17
3,Ali Eftekhari,Nicaragua,March 2 2014,1393,Business,97$205$279$148$75$215$242$311$269$123$88,81$98$125$357$109$352$363$240,358$300$99$190$27$238$160$281$110
4,Ali Pourzangeneh,Bahrain,August 17 2008,1216$1782$133$654$1507,Philosophy$Historical$Short Stories,342$6$225$18$13$173$167$70$87$33$228,128$210$100$90$330,246$278$261$202$1$349$164$364$41$292$115$125$34
5,Ali Ebrahimi,Macedonia,February 3 2012,430,Fantasy$History,2$32$346$310$11$54$76$349$208$352,221$383$99$47$6$240$153$307$397$8$17$271$127$46,58$377$230$267
6,Ali Ghadyani,Suriname,October 28 2018,1776$493$1136$645,Fiction,246$183$267$284$373$87$187$208$73,261$47$49$88$306,231$4$350$15$251$377$379$227$304$3$236$338$266$85
7,Ali Akhgary,Cyprus,May 22 2017,1100$933$164$1801,Science Fiction$Fiction,167$130$78$31$110$35$147$254$206$392,338$302$109$71,69$380$116$276$184$366$224$314$204$149$349$58$368$132$127$18
8,Ali Keramati,Iraq,May 16 2007,522,Fiction$Young Adult$Horror,103$327$65$208$34$215$113$140$50$105,16$375$100$323$276$357,378$9$364$360$102$117$144$369$277$316$366$51$206
9,Ali Mehrani,Japan,June 13 2016,903,Young Adult$Fantasy,19$5$153$293$12$299$131$359$40$124$67$251,272$263$296$356$198$397$234$401$30$379$233,325$175$60$63$388
10,Ali Abbasi alaei,Croatia,December 11 2012,624,Fantasy,269$229$127$115$393$241$198$146$153$372$72$302$159$392,165$147$35,63$32$314$268$83$394$267$255$128$19$286$338$298
11,Ali Pakdel Samadi,Andorra,May 13 2017,1441$1776$83,Fantasy,278$8$66$276$260$240$198$102,224$284$162$281$190$182$36$236$252$391$89$237$286$325$259$301,155$354$378$142$42
12,Alireza Roshandel,Fiji,August 14 2009,1503$1743$191$1749$6,History$Romance$Young Adult,114$396$43$41$284$225$354$234$326$197$214$175$198$266,403$339,201$189$58$48$346$121$152$115$292$249$392$359
13,Alireza Esmaeilzadeh,United States,July 14 2011,1634,Fantasy,44$314$141$28$70$75$140$404$131$258$58,236,98$354$393$290$125$319$348$332$214$233$369$25$87$54$51$276$202
14,AliReza Bahrami,Uganda,May 22 2019,1536$43$1163$520,Young Adult,337$85$42$63$212$236$55$76$198$336$235$361$240$104$175,207,39$99$238$144$278$84$306$315$21$310$95$118$151
15,Alireza Haghi,Eritrea,July 21 2013,1361$317$1193$1123$1406,Fiction$Fiction$History,344$245$402$225$190$203$254$252$59,279$355$62$28$56$287$173$197$44,253$167$6$210$217$371$206$38$137$10$314
16,Alireza Abooei,Cambodia,March 26 2011,409$903,Philosophy$Science Fiction,21$168$28$178$381$20$119$180$208$153$68$141$291$312,223$193$368$3,216$111$129$12$10$382$54$166$260$271$284$173
17,amir momenan,Azerbaijan,February 4 2017,669$1279$352,Young Adult,358$375$126$41$21$195$239$152$153$154,194,78$14$369$114$283$373$16$20$341$361$160$313$290$107$262$221$246
18,Amir Hossein Keshavarz,Uzbekistan,October 20 2012,200$436$728$1489$1531,Historical$Nonfiction,85$67$353$48$363$224$317$371$287$383$112$222$52$280$302,278$13$341$29$405,70$3$202$107$39$400$324$133$257
19,Amir mohammad Varmazyar,Tajikistan,December 18 2019,618,Fantasy$Romance,207$158$345$196$358$69$9$308$110$379$140$208$125$134,293$280$221$259$77$154$163,21$65$257$278$262$116$76
20,amir reza ghahremani,Trinidad,November 18 2015,961$1557$1679$822$257,Fantasy$Fantasy,335$0$293$179$386$161$15$231$151$139,201$122$171$271$304$59$108$352$81$401,50$369$209$65$240$111$12$74$110
21,Amirhosein Ghasemabady,Kuwait,December 21 2017,1350$1729,Historical$Science,74$338$56$394$77$110$101$99$283$376,286$270$233$54$14$295$392$127$22$119$401,100$98$385$152$6$380$197$337$386
22,Amirhossein Abdoli,Mauritania,October 6 2007,997$264$753,Autobiography,370$333$222$152$88$386$185$320$344$393$80,233$323$1$306,242$42$89$171$377$116$230$355$53$270$17$21$392$20$376
23,Amirmohammad tayyebi,Montenegro,January 23 2017,1138$1504$428$493,Young Adult$Young Adult$Romance,304$282$390$118$109$5$373$86$292,165$164$142$285$294$91$204$137$328$73$376$172$136$351,230$130$310$135$229
24,Amirmohammad Khosravi Esfezar,Mauritius,September 9 2019,677$1793$501$1156$558,History,3$392$16$319$197$94$191$134$229,171,172$138$132$131$390$193$9$239$344$149$179$345$274$237$28$371$39$184
25,Amirmohammad Ahmadpour,South Africa,December 3 2008,392$603$1366,Classics$Nonfiction$Young Adult,318$81$198$1$63$320$268$338$59$111$253$386$159$248,160$7$4$249$313$169$107$149$106$267,91$306$174$49
26,amirparsa mahdian,Nauru,April 21 2015,682$633,Thriller,47$402$48$153$106$57$143$129,271$177$192,45$370$27$131$188$303$283$140$157$278$348$322$384$388$12$240$228$291
27,Amirreza Asgharizadeh,Dominica,March 14 2011,1753$160$734$762$149,Romance$Fiction,112$194$242$163$128$359$37$33$215$106$195$143$31$83$61,162$173$230$107,201$135$99$263$100$279$108$36$381$131$24
28,Anita Ghandehari,England,November 22 2017,888,Science Fiction$Young Adult,250$3$151$312$71$116$204$134$80,159$392$320$398$397$140$117,369$238$94$106$25$327$245$232$253$128$81$14$287$109
29,arash hatefi,United Kingdom,September 4 2015,963$1644$479,Young Adult$Fiction,404$132$268$116$223$185$306$83$254$95$82$406$168$89,79$238$36$221$334$122$141,213$104$25$299$9$11$161$18
30,Aryan Soltani Mohammadi,Congo,December 24 2013,1814$203,Fiction,147$388$38$244$389$71$25$378$384$161$292$268$395$338,152$208,396$150$362$392$213$26$357$217$373$369$247$149$190
31,Athena Souri,Switzerland,December 24 2010,1703$1661$1136,Romance,364$300$244$154$333$126$211$335$98$25$347$86$225$217$60,230$329$133$23$219$190,80$169$302$153$246$146$315$305
32,Behina Ansari Rad,Algeria,September 9 2009,1527$663$844$625,Young Adult,174$370$180$2$404$358$173$232$317$139$24$294$209,306$14,325$231$244$269$394$267$79$55$297$217$333$291$114$227$182
